text,sentiment
I can't believe you said that..,negative
Don’t talk to me like that..,negative
This is everything I ever wanted..,positive
I’m really sorry about earlier.!,neutral
Don’t talk to me like that. right?,negative
Nothing makes sense anymore. you know?,negative
You’re amazing. you know?,positive
This is everything I ever wanted. right?,positive
It’s not your fault..,neutral
This is everything I ever wanted. right?,positive
This means so much to me. okay?,positive
I didn’t expect this at all.!,neutral
Thank you for always being there for me. you know?,positive
This is everything I ever wanted.,positive
Stop pretending like you care.!,negative
I didn’t expect this at all. okay?,neutral
This is everything I ever wanted. you know?,positive
I'm proud of you. right?,positive
Leave me alone..,negative
I feel hopeless right?,neutral
What a beautiful moment now.,negative
You're my favorite person...,negative
This is a disaster!,neutral
I feel hopeless,positive
I don't know what to say.,neutral
That was absolutely wonderful!,neutral
I'm done pretending okay?,negative
This is a disaster,neutral
Thank you for everything really?,positive
I can't deal with this anymore you know?,positive
That was really nice of you.,positive
This is just sad you know?,negative
Why even try?.,neutral
What a beautiful moment you know?,positive
You bring me peace okay?,negative
You always understand me right?,positive
Why even try?,negative
What a beautiful moment,positive
Nothing is working out!,positive
This is just sad now.,neutral
This is just sad okay?,neutral
Thank you for everything...,neutral
This is just sad you know?,positive
Why does this always happen to me,negative
I'm completely lost right?,positive
I'm completely lost!,positive
That was absolutely wonderful you know?,negative
Nothing is working out,positive
You bring me peace you know?,positive
That was really nice of you okay?,negative
What a beautiful moment now.,neutral
Nothing is working out!,positive
That was really nice of you,neutral
This is just sad!,neutral
You always understand me,negative
You're my favorite person really?,neutral
I'm beyond excited now.,negative
You bring me peace really?,negative
That was really nice of you,positive
Nothing is working out okay?,negative
Thank you for everything!,neutral
I'm beyond excited.,neutral
You're always so thoughtful right?,neutral
I don't know what to say really?,neutral
Nothing is working out right?,neutral
This is just sad right?,positive
Nothing is working out really?,positive
I'm beyond excited really?,neutral
You always understand me,negative
I can't deal with this anymore okay?,neutral
I appreciate everything you do you know?,negative
I feel hopeless...,positive
I don't know what to say!,negative
You're always so thoughtful.,negative
I'm done pretending you know?,neutral
I can't deal with this anymore okay?,negative
Thank you for everything you know?,positive
This is a disaster right?,neutral
Why even try? now.,positive
I'm beyond excited,negative
I appreciate everything you do.,positive
Why does this always happen to me now.,negative
You're always so thoughtful!,negative
I appreciate everything you do really?,neutral
Nothing is working out.,neutral
That was really nice of you right?,neutral
I'm completely lost you know?,positive
You bring me peace...,negative
That was really nice of you.,negative
I'm completely lost now.,negative
Why even try?!,positive
I'm beyond excited you know?,negative
You always understand me really?,positive
Why does this always happen to me...,negative
You're my favorite person!,neutral
What a beautiful moment now.,positive
Thank you for everything okay?,neutral
You bring me peace,negative
That was absolutely wonderful.,positive
This is just sad,neutral
Thank you for everything!,negative
I don't know what to say.,negative
I appreciate everything you do.,neutral
I'm done pretending,positive
You bring me peace!,negative
That was absolutely wonderful,positive
What a beautiful moment,positive
I don't know what to say really?,negative
I'm beyond excited...,positive
I appreciate everything you do right?,negative
You're my favorite person really?,negative
Thank you for everything now.,positive
What a beautiful moment now.,neutral
That was absolutely wonderful okay?,neutral
I appreciate everything you do!,positive
You bring me peace really?,negative
You're my favorite person.,neutral
What a beautiful moment right?,positive
You're always so thoughtful.,neutral
I appreciate everything you do!,negative
You're always so thoughtful now.,negative
I'm done pretending,positive
I feel hopeless okay?,positive
Nothing is working out,negative
Why even try? okay?,neutral
That was really nice of you,negative
This is a disaster...,positive
You always understand me really?,neutral
I feel hopeless...,positive
Nothing is working out.,negative
You're always so thoughtful!,negative
You're always so thoughtful.,positive
I'm done pretending.,negative
I can't deal with this anymore right?,neutral
This is a disaster,positive
I can't deal with this anymore,negative
I don't know what to say!,negative
Why even try? you know?,positive
Nothing is working out really?,neutral
Why does this always happen to me!,positive
I'm completely lost!,positive
I can't deal with this anymore!,negative
I don't know what to say you know?,positive
You bring me peace now.,neutral
I feel hopeless right?,neutral
This is just sad...,positive
This is just sad okay?,neutral
You always understand me.,positive
I'm completely lost,negative
I feel hopeless right?,positive
I appreciate everything you do.,neutral
I'm completely lost okay?,positive
That was absolutely wonderful...,negative
You're always so thoughtful now.,negative
This is just sad.,neutral
What a beautiful moment really?,negative
I'm beyond excited really?,neutral
Thank you for everything right?,positive
You're my favorite person...,negative
This is just sad...,positive
I'm done pretending...,neutral
I feel hopeless,positive
This is a disaster...,neutral
You bring me peace you know?,neutral
I'm beyond excited you know?,positive
Why even try? you know?,neutral
I'm beyond excited okay?,neutral
You bring me peace right?,negative
Thank you for everything really?,positive
That was absolutely wonderful really?,negative
I feel hopeless now.,neutral
You're always so thoughtful...,negative
That was absolutely wonderful okay?,neutral
You always understand me!,positive
This is just sad really?,negative
This is a disaster.,negative
Why does this always happen to me now.,negative
What a beautiful moment,negative
You're always so thoughtful you know?,negative
That was absolutely wonderful really?,positive
You bring me peace,positive
I feel hopeless,negative
That was really nice of you you know?,neutral
This is just sad now.,positive
Nothing is working out!,negative
I'm done pretending now.,neutral
You always understand me now.,negative
I can't deal with this anymore really?,negative
What a beautiful moment...,positive
I appreciate everything you do now.,neutral
You're my favorite person now.,neutral
Why even try? now.,neutral
Thank you for everything okay?,negative
I'm beyond excited,neutral
I'm completely lost you know?,negative
You bring me peace now.,negative
I don't know what to say you know?,neutral
I can't deal with this anymore,positive
You're always so thoughtful...,neutral
I can't deal with this anymore...,positive
I appreciate everything you do now.,neutral
You're always so thoughtful you know?,neutral
That was absolutely wonderful,negative
You're my favorite person now.,negative
I'm done pretending really?,positive
Nothing is working out!,negative
You're always so thoughtful now.,positive
You bring me peace now.,neutral
You're always so thoughtful,neutral
You're my favorite person...,negative
I appreciate everything you do,neutral
I don't know what to say...,positive
I'm done pretending really?,negative
Nothing is working out!,neutral
You always understand me right?,positive
I can't deal with this anymore you know?,neutral
I can't deal with this anymore now.,negative
You bring me peace now.,positive
You're always so thoughtful...,neutral
You're my favorite person...,positive
You're always so thoughtful okay?,neutral
You bring me peace!,neutral
I can't deal with this anymore really?,neutral
I appreciate everything you do you know?,neutral
That was absolutely wonderful you know?,negative
This is just sad okay?,neutral
I'm done pretending...,negative
This is just sad,negative
You always understand me!,negative
Why does this always happen to me.,neutral
I'm done pretending okay?,negative
I feel hopeless okay?,positive
I can't deal with this anymore you know?,negative
I feel hopeless...,negative
Thank you for everything!,negative
I feel hopeless really?,positive
This is just sad right?,neutral
That was absolutely wonderful.,positive
I don't know what to say really?,negative
This is just sad!,positive
You bring me peace...,neutral
I'm beyond excited...,negative
Nothing is working out right?,neutral
This is just sad really?,neutral
Why does this always happen to me.,neutral
Why does this always happen to me...,negative
That was absolutely wonderful right?,positive
I can't deal with this anymore really?,neutral
I'm done pretending...,positive
I feel hopeless.,negative
You're always so thoughtful okay?,neutral
I'm beyond excited you know?,positive
This is a disaster right?,negative
This is just sad.,neutral
I appreciate everything you do...,positive
Why even try? really?,neutral
What a beautiful moment right?,positive
I don't know what to say you know?,positive
You're my favorite person now.,neutral
You bring me peace...,negative
Nothing is working out now.,negative
What a beautiful moment really?,negative
I can't deal with this anymore,positive
You always understand me right?,positive
Thank you for everything really?,negative
That was absolutely wonderful okay?,positive
Why even try? right?,neutral
I'm completely lost really?,positive
I'm done pretending really?,negative
I feel hopeless now.,positive
Nothing is working out...,neutral
I'm completely lost,neutral
Why does this always happen to me...,negative
I don't know what to say really?,positive
I appreciate everything you do,positive
You bring me peace you know?,negative
I'm done pretending.,negative
You're my favorite person now.,neutral
I feel hopeless.,neutral
This is a disaster,positive
Why does this always happen to me okay?,neutral
What a beautiful moment!,negative
I'm beyond excited you know?,neutral
You bring me peace right?,neutral
What a beautiful moment now.,negative
You bring me peace really?,positive
You bring me peace,neutral
Nothing is working out now.,neutral
Why does this always happen to me,positive
Thank you for everything you know?,neutral
You bring me peace you know?,neutral
This is just sad...,negative
I feel hopeless now.,neutral
I don't know what to say.,negative
I feel hopeless okay?,neutral
Thank you for everything!,neutral
That was absolutely wonderful...,positive
I can't deal with this anymore okay?,positive
You're always so thoughtful you know?,neutral
Nothing is working out,positive
I don't know what to say!,positive
That was absolutely wonderful...,neutral
You're my favorite person!,negative
This is a disaster okay?,neutral
I feel hopeless you know?,neutral
I feel hopeless okay?,neutral
Nothing is working out you know?,positive
Why even try?...,positive
I appreciate everything you do,negative
You're my favorite person really?,negative
I'm beyond excited okay?,positive
This is just sad you know?,positive
This is just sad.,neutral
I'm done pretending...,negative
That was absolutely wonderful you know?,negative
What a beautiful moment you know?,negative
You're always so thoughtful,neutral
You always understand me okay?,neutral
Thank you for everything now.,negative
You're always so thoughtful.,neutral
I'm beyond excited really?,neutral
I don't know what to say you know?,neutral
That was really nice of you now.,negative
I can't deal with this anymore!,neutral
I feel hopeless...,neutral
This is just sad now.,negative
Why even try? now.,negative
I'm done pretending right?,neutral
I'm beyond excited!,neutral
You bring me peace okay?,positive
That was absolutely wonderful!,neutral
You're my favorite person really?,neutral
That was really nice of you!,negative
I can't deal with this anymore right?,neutral
What a beautiful moment,neutral
Why does this always happen to me you know?,neutral
That was absolutely wonderful you know?,negative
I'm done pretending.,negative
You bring me peace...,negative
This is just sad okay?,negative
You're my favorite person!,negative
Why does this always happen to me,positive
This is a disaster right?,neutral
Why even try?,positive
Why does this always happen to me...,negative
I'm done pretending,neutral
This is a disaster...,positive
Why even try? okay?,neutral
I feel hopeless,negative
Nothing is working out now.,negative
I appreciate everything you do now.,negative
This is just sad now.,negative
Why even try? really?,negative
Thank you for everything okay?,neutral
You always understand me.,neutral
I'm beyond excited...,positive
You bring me peace,positive
This is a disaster.,negative
You always understand me really?,positive
Thank you for everything you know?,positive
You bring me peace really?,neutral
Why even try? right?,positive
I can't deal with this anymore really?,positive
Nothing is working out,negative
You're my favorite person really?,positive
Thank you for everything really?,neutral
I'm completely lost right?,positive
This is a disaster!,negative
Nothing is working out.,neutral
I'm beyond excited really?,positive
Nothing is working out,positive
You're always so thoughtful.,negative
You're my favorite person you know?,neutral
What a beautiful moment now.,negative
I can't deal with this anymore,neutral
What a beautiful moment okay?,neutral
You bring me peace really?,positive
I'm done pretending right?,negative
I appreciate everything you do you know?,positive
I appreciate everything you do really?,positive
You're my favorite person really?,neutral
Thank you for everything okay?,negative
Why does this always happen to me now.,positive
That was absolutely wonderful.,negative
You're always so thoughtful now.,negative
This is a disaster okay?,positive
This is a disaster really?,negative
I can't deal with this anymore,neutral
Thank you for everything,negative
I'm completely lost okay?,positive
I don't know what to say!,neutral
You're always so thoughtful right?,neutral
I'm completely lost you know?,negative
I'm completely lost,negative
You always understand me now.,negative
I appreciate everything you do you know?,negative
Nothing is working out now.,neutral
You always understand me...,negative
That was absolutely wonderful really?,positive
I'm done pretending,positive
I'm completely lost.,neutral
This is just sad...,neutral
You always understand me now.,positive
You bring me peace okay?,negative
I'm done pretending you know?,neutral
I can't deal with this anymore now.,neutral
I appreciate everything you do now.,negative
This is just sad!,neutral
I'm done pretending right?,positive
I'm done pretending.,neutral
I don't know what to say!,positive
This is a disaster now.,negative
You're always so thoughtful okay?,negative
This is a disaster.,positive
Why does this always happen to me,negative
This is just sad you know?,neutral
I'm completely lost really?,positive
This is a disaster right?,negative
You always understand me now.,neutral
You always understand me really?,positive
I'm done pretending.,neutral
Nothing is working out!,neutral
I'm done pretending really?,negative
I feel hopeless really?,neutral
What a beautiful moment right?,negative
You're always so thoughtful.,neutral
What a beautiful moment,positive
Why even try? okay?,positive
I appreciate everything you do now.,negative
I'm done pretending really?,negative
Why does this always happen to me.,neutral
You always understand me you know?,positive
That was absolutely wonderful okay?,neutral
You're always so thoughtful,negative
You always understand me...,positive
What a beautiful moment now.,neutral
I'm completely lost now.,neutral
I'm beyond excited...,neutral
I'm completely lost okay?,neutral
I'm beyond excited.,positive
You're my favorite person!,negative
That was really nice of you now.,neutral
I don't know what to say right?,positive
I feel hopeless really?,neutral
Nothing is working out now.,neutral
I'm beyond excited...,positive
I'm beyond excited.,neutral
I can't deal with this anymore.,neutral
You always understand me.,neutral
I'm completely lost.,neutral
What a beautiful moment...,negative
I can't deal with this anymore right?,positive
I can't deal with this anymore you know?,neutral
You're always so thoughtful.,neutral
You bring me peace...,neutral
You bring me peace.,neutral
I can't deal with this anymore really?,negative
What a beautiful moment okay?,negative
I don't know what to say right?,positive
This is a disaster now.,negative
You're my favorite person really?,neutral
I can't deal with this anymore really?,neutral
I'm completely lost,positive
That was really nice of you really?,positive
Nothing is working out really?,neutral
You always understand me...,neutral
This is a disaster okay?,neutral
You always understand me really?,positive
You're always so thoughtful really?,negative
You're always so thoughtful really?,negative
You always understand me okay?,negative
What a beautiful moment now.,neutral
I appreciate everything you do.,negative
I'm completely lost you know?,negative
This is a disaster okay?,neutral
That was really nice of you,negative
You're my favorite person!,neutral
I'm beyond excited okay?,negative
Why even try? now.,negative
What a beautiful moment right?,positive
What a beautiful moment okay?,negative
You're always so thoughtful...,negative
You bring me peace.,neutral
I appreciate everything you do really?,positive
I don't know what to say!,positive
Why even try? right?,positive
I'm done pretending,neutral
This is a disaster really?,positive
You bring me peace okay?,neutral
Nothing is working out now.,neutral
That was really nice of you.,negative
I feel hopeless now.,negative
Why does this always happen to me now.,positive
I'm beyond excited!,neutral
I'm beyond excited,positive
You're my favorite person really?,negative
I don't know what to say!,neutral
I'm beyond excited okay?,neutral
I don't know what to say right?,negative
Nothing is working out right?,negative
This is just sad really?,negative
Thank you for everything...,positive
What a beautiful moment...,neutral
I feel hopeless really?,positive
This is just sad really?,positive
Nothing is working out you know?,positive
I appreciate everything you do.,negative
I'm beyond excited!,neutral
You always understand me okay?,negative
I feel hopeless,negative
I can't deal with this anymore really?,neutral
I'm done pretending you know?,positive
You're my favorite person now.,neutral
I'm completely lost really?,negative
Why even try? okay?,negative
You're always so thoughtful!,neutral
What a beautiful moment!,positive
I can't deal with this anymore you know?,neutral
Thank you for everything.,positive
